date,open,high,low,close,volume,value
2017-09-01,4201000.0,4896000.0,4175000.0,4895000.0,347.48185656,1544805967.39643
2017-10-01,4889000.0,7479000.0,4682000.0,7422000.0,4282.09567791,28792318723.58634
2017-11-01,7422000.0,13750000.0,6476000.0,11935000.0,332870.40658095,3333919267614.687
2017-12-01,11935000.0,24967000.0,11201000.0,19280000.0,1423404.06885122,27132793421335.008
2018-01-01,19278000.0,28885000.0,10400000.0,11429000.0,1138495.89407868,20968342926307.7
2018-02-01,11439000.0,14149000.0,6620000.0,11860000.0,780683.9588336,8338553933032.581
2018-03-01,11865000.0,12899000.0,7431000.0,7697000.0,575945.75756607,5805373843215.382
2018-04-01,7688000.0,10755000.0,7087000.0,10138000.0,573633.81153136,4959892531222.687
2018-05-01,10135000.0,10963000.0,7813000.0,8282000.0,272267.48145009,2607958006238.1025
2018-06-01,8278000.0,8490000.0,6590000.0,7164000.0,117782.95477841,884389892618.8875
2018-07-01,7164000.0,9578000.0,6941000.0,8800000.0,181398.01589799,1496143560056.306
2018-08-01,8807000.0,8940000.0,6960000.0,7865000.0,150764.1511383,1160146596428.6897
2018-09-01,7865000.0,8333000.0,7010000.0,7393000.0,100674.26100622,751712331036.9186
2018-10-01,7394000.0,7905000.0,7057000.0,7162000.0,101664.52766478,746729084717.5271
2018-11-01,7162000.0,7348000.0,4126000.0,4565000.0,202770.0644728,1119919084873.1338
2018-12-01,4565000.0,4852000.0,3562000.0,4200000.0,256196.68711434,1077286128289.1417
2019-01-01,4200000.0,4577000.0,3730000.0,3775000.0,152628.16488031,625565113869.71
2019-02-01,3775000.0,4554000.0,3735000.0,4240000.0,149447.01330811,613176329271.873
2019-03-01,4240000.0,4680000.0,4120000.0,4661000.0,220183.66257353,971178898630.9796
2019-04-01,4661000.0,6566000.0,4621000.0,6117000.0,286261.8481024,1666238307040.8777
2019-05-01,6117000.0,10815000.0,6107000.0,10383000.0,364387.76327154,3225143397528.754
2019-06-01,10383000.0,16840000.0,9172000.0,13598000.0,395517.38569837,4981181503052.697
2019-07-01,13599000.0,15537000.0,10880000.0,11957000.0,487170.94062848,6321462071944.682
2019-08-01,11956000.0,14570000.0,11380000.0,11612000.0,283765.53137123,3661279344006.8315
2019-09-01,11612000.0,13014000.0,9268000.0,9945000.0,152291.29161581,1748379097342.2788
2019-10-01,9945000.0,11899000.0,8630000.0,10692000.0,158003.54559607,1604730480108.4348
2019-11-01,10698000.0,10996000.0,7683000.0,8838000.0,121988.83863801,1142572317699.0076
2019-12-01,8838000.0,8996000.0,7546000.0,8312000.0,88753.43949787,749631042779.4087
2020-01-01,8308000.0,10882000.0,7910000.0,10781000.0,151081.46125133,1448009639610.1118
2020-02-01,10781000.0,12044000.0,10306000.0,10374000.0,141681.39512565,1608632370095.7415
2020-03-01,10380000.0,10980000.0,5489000.0,7799000.0,345309.78188922,2661304476282.0654
2020-04-01,7799000.0,11435000.0,7529000.0,10477000.0,171519.60064021,1524309595907.389
2020-05-01,10477000.0,12163000.0,10121000.0,11432000.0,188722.04592686,2109939228782.646
2020-06-01,11432000.0,12230000.0,10756000.0,10903000.0,82842.86826319,947354527390.6284
2020-07-01,10903000.0,13580000.0,10700000.0,13416000.0,86752.46083459,1020143920567.3933
2020-08-01,13404000.0,14382000.0,12871000.0,13739000.0,147985.32475413,2030225335109.9985
2020-09-01,13733000.0,14097000.0,11860000.0,12558000.0,95987.45136226,1213187151783.6584
2020-10-01,12562000.0,15800000.0,12205000.0,15606000.0,81936.15006869,1136673859454.5596
2020-11-01,15606000.0,21459000.0,15011000.0,21315000.0,183580.5023457,3459984447735.395
2020-12-01,21313000.0,32386000.0,19216000.0,32042000.0,225919.11576872,5714537495798.291
2021-01-01,32037000.0,48550000.0,31662000.0,36408000.0,502401.95083238,19486632348247.703
2021-02-01,36408000.0,65985000.0,35907000.0,51798000.0,382508.39154721,19746448449659.047
2021-03-01,51798000.0,72000000.0,51560000.0,71513000.0,298657.8894661,19093071779649.9
2021-04-01,71480000.0,81994000.0,54964000.0,67939000.0,330777.59927229,23452639213341.0
2021-05-01,67956000.0,73129000.0,39331000.0,43761000.0,492359.42349206,27679756812381.914
2021-06-01,43761000.0,44550000.0,42515000.0,42586000.0,10474.23913769,454411563524.0177
